               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,             0.03071,            0.023615,           0.0014415,             0.98126,             0.98439,             0.99254,             0.71827,            0.024286,            0.010157,           0.0010325,            0.007723,            0.007723,            0.007723
                 117,            0.028666,            0.021893,            0.001514,             0.97822,             0.98686,             0.99289,             0.74963,            0.021889,           0.0098178,          0.00097886,           0.0077032,           0.0077032,           0.0077032
                 118,            0.028235,            0.021205,           0.0014277,             0.98959,             0.97506,             0.99397,             0.72921,            0.023061,           0.0097919,          0.00091965,           0.0076834,           0.0076834,           0.0076834
                 119,            0.028597,            0.021641,           0.0014324,             0.97679,             0.98629,             0.99322,             0.76019,            0.021286,           0.0093824,          0.00080586,           0.0076636,           0.0076636,           0.0076636
                 120,            0.028371,            0.021085,           0.0010957,             0.98621,             0.98156,             0.99421,             0.76612,            0.022155,            0.009553,          0.00075733,           0.0076438,           0.0076438,           0.0076438
                 121,            0.029559,            0.021653,            0.001336,             0.98206,             0.99709,             0.99419,             0.78507,            0.020106,           0.0094872,          0.00070057,            0.007624,            0.007624,            0.007624
                 122,            0.029534,            0.022464,           0.0013035,             0.98677,             0.99182,             0.99411,             0.79527,            0.020214,           0.0093726,          0.00074238,           0.0076042,           0.0076042,           0.0076042
                 123,            0.028581,            0.023157,            0.001221,             0.99084,             0.99489,             0.99407,              0.7839,            0.020486,           0.0093988,          0.00085213,           0.0075844,           0.0075844,           0.0075844
                 124,            0.027949,            0.022147,           0.0012698,             0.98811,               0.994,             0.99463,             0.73879,            0.022893,           0.0098123,          0.00094784,           0.0075646,           0.0075646,           0.0075646
                 125,            0.028348,            0.021849,           0.0014615,              0.9904,             0.99268,             0.99449,             0.78414,            0.020837,           0.0095924,          0.00095737,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028215,            0.020368,           0.0011596,             0.98896,             0.99229,             0.99425,             0.78512,            0.020653,           0.0093812,          0.00094773,            0.007525,            0.007525,            0.007525
                 127,            0.026392,             0.01987,           0.0014188,             0.98436,                0.99,             0.99426,             0.78889,            0.019575,           0.0091822,          0.00089677,           0.0075052,           0.0075052,           0.0075052
                 128,            0.027492,            0.019763,           0.0011579,             0.98145,             0.99156,             0.99446,             0.79507,            0.020005,            0.009199,          0.00092656,           0.0074854,           0.0074854,           0.0074854
                 129,            0.027042,            0.024353,           0.0013063,             0.97892,             0.99261,              0.9943,             0.80502,            0.018136,           0.0090169,          0.00093269,           0.0074656,           0.0074656,           0.0074656
